Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;57,43;57,57;56,95;57,28;;
2021-12-29;56,58;57,59;56,57;57,41;;
2021-12-28;56,69;57,11;56,46;56,58;;
2021-12-27;56,23;57,09;56,16;56,70;;
2021-12-23;55,54;56,56;55,43;56,27;;
2021-12-22;54,79;55,54;54,55;55,54;;
2021-12-21;53,68;54,96;53,10;54,82;;
2021-12-20;53,71;54,02;52,05;53,57;;
2021-12-19;54,23;54,23;54,09;54,09;;
2021-12-18;54,22;54,23;54,22;54,23;;
2021-12-17;54,37;54,70;53,21;54,22;;
2021-12-16;53,58;55,31;53,06;53,99;;
2021-12-15;54,62;54,62;52,86;53,46;;
2021-12-14;54,42;55,28;54,23;54,59;;
2021-12-13;53,78;54,48;53,52;54,38;;
2021-12-12;53,73;53,79;53,73;53,73;;
2021-12-11;53,73;53,74;53,71;53,73;;
2021-12-10;54,27;54,61;53,52;53,73;;
2021-12-09;55,53;56,25;54,30;54,34;;
2021-12-08;56,04;56,57;55,28;55,54;;
2021-12-07;56,17;56,35;55,37;56,10;;
2021-12-06;54,21;56,03;54,16;56,02;;
2021-12-05;53,88;53,94;53,87;53,93;;
2021-12-04;53,98;53,98;53,80;53,80;;
2021-12-03;53,82;54,43;53,33;53,98;;
2021-12-02;53,20;53,94;53,03;53,84;;
2021-12-01;52,93;53,83;52,87;52,98;;
2021-11-30;52,86;53,34;52,12;52,71;;
2021-11-29;53,84;53,97;53,06;53,74;;
2021-11-28;52,69;53,16;52,62;53,16;;
2021-11-27;53,07;53,07;52,69;52,69;;
2021-11-26;53,64;54,13;52,66;53,15;;
2021-11-25;55,83;55,83;54,54;54,82;;
2021-11-24;55,94;56,05;55,09;55,62;;
2021-11-23;55,46;56,21;55,19;55,84;;
2021-11-22;55,81;56,11;54,78;55,49;;
2021-11-21;55,81;55,81;55,72;55,72;;
2021-11-20;55,81;55,81;55,81;55,81;;
2021-11-19;56,40;56,82;55,13;55,80;;
2021-11-18;57,05;57,27;56,04;56,33;;
2021-11-17;58,03;58,27;56,58;57,01;;
2021-11-16;58,10;58,69;57,88;58,07;;
2021-11-15;57,96;58,10;57,48;58,10;;
2021-11-14;57,96;57,98;57,96;57,98;;
2021-11-13;57,96;57,96;57,96;57,96;;
2021-11-12;58,16;58,71;57,68;57,97;;
2021-11-11;58,86;59,75;57,62;58,13;;
2021-11-10;58,59;59,17;58,00;58,82;;
2021-11-09;60,24;60,31;58,06;58,63;;
2021-11-08;61,30;61,38;59,92;60,28;;
2021-11-07;61,29;61,31;61,28;61,31;;
2021-11-06;61,27;61,29;61,27;61,29;;
2021-11-05;59,39;61,95;59,10;61,27;;
2021-11-04;58,52;59,63;58,02;59,40;;
2021-11-03;59,16;59,41;57,34;58,50;;
2021-11-02;59,07;61,57;58,67;59,17;;
2021-11-01;57,78;59,08;57,54;59,08;;
2021-10-31;57,78;57,79;57,78;57,79;;
2021-10-30;57,78;57,78;57,78;57,78;;
2021-10-29;59,55;59,55;57,32;57,78;;
2021-10-28;59,66;59,95;58,77;59,57;;
2021-10-27;59,20;60,19;58,90;59,64;;
2021-10-26;61,72;61,91;59,06;59,20;;
2021-10-25;61,38;61,97;61,06;61,71;;
2021-10-24;61,38;61,38;61,38;61,38;;
2021-10-23;61,38;61,38;61,37;61,38;;
2021-10-22;61,82;61,93;61,10;61,38;;
2021-10-21;61,35;61,84;60,86;61,79;;
2021-10-20;60,80;61,42;60,61;61,38;;
2021-10-19;60,48;60,94;60,03;60,81;;
2021-10-18;61,30;61,40;59,90;60,48;;
2021-10-17;61,33;61,33;61,32;61,33;;
2021-10-16;61,33;61,34;61,32;61,33;;
2021-10-15;61,38;61,45;60,62;61,33;;
2021-10-14;60,80;61,55;60,62;61,37;;
2021-10-13;60,64;60,98;60,27;60,79;;
2021-10-12;60,63;60,94;60,32;60,61;;
2021-10-11;60,40;61,21;60,03;60,66;;
2021-10-10;60,37;60,37;60,37;60,37;;
2021-10-09;60,37;60,37;60,37;60,37;;
2021-10-08;60,06;60,71;60,02;60,37;;
2021-10-07;60,01;60,55;59,89;60,07;;
2021-10-06;60,17;60,20;59,44;59,94;;
2021-10-05;60,82;61,11;60,10;60,26;;
2021-10-04;60,80;61,74;60,38;60,81;;
2021-10-03;60,85;60,85;60,84;60,85;;
2021-10-02;60,85;60,85;60,85;60,85;;
2021-10-01;60,60;60,96;59,96;60,85;;
2021-09-30;61,05;61,29;60,43;60,73;;
2021-09-29;61,08;61,45;60,38;60,98;;
2021-09-28;61,18;61,48;60,53;61,04;;
2021-09-27;61,52;62,15;61,16;61,18;;
2021-09-26;61,43;61,48;61,42;61,47;;
2021-09-25;61,43;61,43;61,42;61,43;;
2021-09-24;61,53;61,69;60,92;61,43;;
2021-09-23;62,32;63,12;61,22;61,56;;
2021-09-22;61,32;62,97;61,32;62,28;;
2021-09-21;60,32;61,95;60,07;61,26;;
2021-09-20;60,07;60,70;59,48;60,27;;
2021-09-19;60,23;60,24;60,21;60,22;;
2021-09-18;60,23;60,23;60,23;60,23;;
2021-09-17;60,19;60,70;59,86;60,24;;
2021-09-16;60,06;60,51;59,68;60,18;;
2021-09-15;62,13;62,15;59,86;60,07;;
2021-09-14;61,90;62,91;61,75;62,11;;
2021-09-13;61,78;62,82;61,71;61,90;;
2021-09-12;61,78;61,78;61,78;61,78;;
2021-09-11;61,78;61,78;61,78;61,78;;
2021-09-10;64,61;64,61;61,68;61,78;;
2021-09-09;65,36;65,50;64,57;64,59;;
2021-09-08;65,40;65,62;64,75;65,38;;
2021-09-07;65,54;65,78;65,20;65,42;;
2021-09-06;65,18;65,81;64,94;65,55;;
2021-09-05;65,17;65,17;65,17;65,17;;
2021-09-04;65,17;65,17;65,17;65,17;;
2021-09-03;65,48;65,62;64,51;65,17;;
2021-09-02;65,67;65,70;64,76;65,48;;
2021-09-01;65,03;66,69;65,03;65,67;;
2021-08-31;65,50;65,60;64,78;65,02;;
2021-08-30;66,26;66,30;65,23;65,49;;
2021-08-29;66,26;66,27;66,26;66,27;;
2021-08-28;66,26;66,26;66,26;66,26;;
2021-08-27;67,23;67,32;66,07;66,26;;
2021-08-26;67,31;67,72;66,91;67,22;;
2021-08-25;68,33;68,55;66,88;67,32;;
2021-08-24;68,82;69,01;68,13;68,36;;
2021-08-23;68,20;68,88;68,18;68,80;;
2021-08-22;68,16;68,16;68,16;68,16;;
2021-08-21;68,16;68,16;68,16;68,16;;
2021-08-20;68,37;68,76;67,79;68,15;;
2021-08-19;69,18;69,20;68,15;68,51;;
2021-08-18;69,59;69,96;69,18;69,22;;
2021-08-17;69,07;69,65;68,56;69,47;;
2021-08-16;68,60;69,22;68,25;69,15;;
2021-08-15;68,70;68,70;68,68;68,68;;
2021-08-14;68,70;68,70;68,70;68,70;;
2021-08-13;68,09;68,90;67,99;68,70;;
2021-08-12;68,56;68,58;67,74;68,10;;
2021-08-11;68,06;68,61;67,68;68,58;;
2021-08-10;67,13;68,48;67,04;68,08;;
2021-08-09;67,20;67,29;66,58;67,13;;
2021-08-08;67,27;67,27;67,26;67,26;;
2021-08-07;67,27;67,27;67,27;67,27;;
2021-08-06;67,42;67,46;66,82;67,27;;
2021-08-05;67,38;68,10;67,12;67,41;;
2021-08-04;67,15;67,95;67,00;67,34;;
2021-08-03;65,02;67,40;64,81;67,11;;
2021-08-02;66,71;66,86;63,93;64,91;;
2021-08-01;66,57;66,58;66,54;66,54;;
2021-07-31;66,58;66,58;66,57;66,57;;
2021-07-30;69,11;69,31;64,41;66,58;;
2021-07-29;69,00;69,72;68,72;69,26;;
2021-07-28;68,28;69,29;68,04;69,02;;
2021-07-27;68,49;68,60;67,57;68,32;;
2021-07-26;69,08;69,32;68,29;68,57;;
2021-07-25;69,24;69,24;69,22;69,22;;
2021-07-24;69,24;69,24;69,24;69,24;;
2021-07-23;69,36;69,61;68,96;69,24;;
2021-07-22;68,39;69,41;68,26;69,38;;
2021-07-21;67,83;68,41;67,17;68,41;;
2021-07-20;68,48;68,91;67,33;67,88;;
2021-07-19;69,46;69,57;68,27;68,42;;
2021-07-18;69,56;69,56;69,54;69,55;;
2021-07-17;69,55;69,56;69,55;69,56;;
2021-07-16;69,51;69,91;69,22;69,55;;
2021-07-15;70,84;70,89;69,26;69,48;;
2021-07-14;70,25;71,13;70,02;70,83;;
2021-07-13;69,78;70,53;69,71;70,28;;
2021-07-12;68,90;69,93;68,56;69,78;;
2021-07-11;68,94;68,95;68,94;68,95;;
2021-07-10;68,93;68,94;68,93;68,94;;
2021-07-09;68,58;69,14;68,13;68,93;;
2021-07-08;68,68;68,95;68,20;68,50;;
2021-07-07;67,64;68,83;67,54;68,77;;
2021-07-06;68,14;68,40;67,53;67,64;;
2021-07-05;69,19;69,21;67,89;68,13;;
2021-07-04;69,23;69,24;69,22;69,23;;
2021-07-03;69,23;69,23;69,23;69,23;;
2021-07-02;70,57;70,64;68,97;69,23;;
2021-07-01;70,02;70,90;69,82;70,57;;
2021-06-30;69,67;70,51;69,51;69,96;;
2021-06-29;70,15;70,50;69,55;69,66;;
2021-06-28;69,87;70,42;69,74;70,21;;
2021-06-27;69,87;69,87;69,86;69,87;;
2021-06-26;69,86;69,87;69,82;69,87;;
2021-06-25;69,68;70,09;69,41;69,86;;
2021-06-24;68,80;69,90;68,77;69,60;;
2021-06-23;69,20;69,38;68,54;68,73;;
2021-06-22;69,41;69,68;68,84;69,18;;
2021-06-21;69,98;70,25;68,85;69,40;;
2021-06-20;70,02;70,02;70,00;70,00;;
2021-06-19;70,02;70,02;70,02;70,02;;
2021-06-18;70,18;70,29;69,54;70,02;;
2021-06-17;69,64;70,21;68,99;70,18;;
2021-06-16;69,23;70,63;68,67;69,66;;
2021-06-15;69,02;69,46;68,97;69,23;;
2021-06-14;68,63;69,37;68,57;69,02;;
2021-06-13;68,63;68,64;68,63;68,63;;
2021-06-12;68,63;68,63;68,63;68,63;;
2021-06-11;68,06;68,78;67,99;68,63;;
2021-06-10;68,12;68,68;67,99;68,06;;
2021-06-09;67,46;68,45;67,46;68,10;;
2021-06-08;67,81;68,17;67,48;67,48;;
2021-06-07;67,42;68,01;67,23;67,82;;
2021-06-06;67,46;67,46;67,44;67,44;;
2021-06-05;67,46;67,46;67,46;67,46;;
2021-06-04;66,86;67,67;66,84;67,46;;
2021-06-03;65,79;67,01;65,68;66,86;;
2021-06-02;65,33;65,84;65,02;65,77;;
2021-06-01;65,41;65,99;65,24;65,31;;
2021-05-31;65,61;65,85;65,30;65,37;;
2021-05-30;65,70;65,72;65,70;65,71;;
2021-05-29;65,70;65,70;65,70;65,70;;
2021-05-28;66,28;66,30;65,25;65,70;;
2021-05-27;66,70;66,71;65,88;66,27;;
2021-05-26;66,04;67,15;66,03;66,71;;
2021-05-25;66,83;67,14;65,93;66,00;;
2021-05-24;66,64;67,13;66,33;66,83;;
2021-05-23;66,65;66,66;66,62;66,62;;
2021-05-22;66,65;66,65;66,65;66,65;;
2021-05-21;66,17;66,99;66,08;66,65;;
2021-05-20;66,66;67,87;66,20;67,48;;
2021-05-19;66,17;66,95;65,98;66,58;;
2021-05-18;67,00;67,62;66,21;66,25;;
2021-05-17;67,12;67,61;66,34;66,92;;
2021-05-16;67,18;67,19;67,17;67,17;;
2021-05-15;67,18;67,18;67,18;67,18;;
2021-05-14;66,85;67,19;66,46;67,18;;
2021-05-13;65,25;66,90;65,04;66,77;;
2021-05-12;64,56;65,96;64,52;65,27;;
2021-05-11;64,54;64,84;63,93;64,65;;
2021-05-10;64,86;65,11;64,19;64,67;;
2021-05-09;64,78;64,80;64,78;64,80;;
2021-05-08;64,79;64,79;64,78;64,78;;
2021-05-07;64,26;64,99;64,22;64,79;;
2021-05-06;65,94;66,41;62,22;64,22;;
2021-05-05;66,39;67,02;65,63;65,96;;
2021-05-04;66,82;66,96;66,10;66,37;;
2021-05-03;66,28;67,08;66,01;66,84;;
2021-04-30;65,29;66,57;65,18;66,27;;
2021-04-29;64,97;65,65;64,96;65,31;;
2021-04-28;65,29;65,68;64,80;64,96;;
2021-04-27;65,32;66,12;65,04;65,29;;
2021-04-26;65,08;65,44;64,78;65,31;;
2021-04-25;65,08;65,08;65,08;65,08;;
2021-04-24;65,08;65,08;65,01;65,08;;
2021-04-23;65,61;65,96;64,73;65,08;;
2021-04-22;65,23;65,97;64,91;65,60;;
2021-04-21;63,86;65,24;63,84;65,22;;
2021-04-20;64,12;64,21;63,61;63,85;;
2021-04-19;63,39;64,59;63,24;64,12;;
2021-04-18;63,41;63,41;63,40;63,40;;
2021-04-17;63,41;63,41;63,41;63,41;;
2021-04-16;63,14;63,44;62,75;63,41;;
2021-04-15;63,10;63,39;62,76;63,14;;
2021-04-14;63,64;63,65;62,90;63,09;;
2021-04-13;63,91;63,98;63,23;63,64;;
2021-04-12;63,38;63,91;63,06;63,91;;
2021-04-11;63,39;63,42;63,39;63,42;;
2021-04-10;63,40;63,40;63,38;63,39;;
2021-04-09;63,04;63,47;62,96;63,40;;
2021-04-08;62,73;63,45;62,73;63,04;;
2021-04-07;62,86;63,48;62,63;62,73;;
2021-04-06;62,73;63,80;62,73;62,86;;
2021-04-01;62,81;63,19;62,45;62,69;;
2021-03-31;63,16;63,32;62,57;62,81;;
2021-03-30;63,76;64,01;63,03;63,17;;
2021-03-29;63,40;64,03;63,19;63,76;;
2021-03-28;63,44;63,44;63,43;63,43;;
2021-03-27;63,44;63,44;63,44;63,44;;
2021-03-26;62,36;63,84;62,30;63,44;;
2021-03-25;61,58;62,76;61,22;62,29;;
2021-03-24;61,82;61,82;61,09;61,57;;
2021-03-23;61,13;62,03;60,91;61,82;;
2021-03-22;61,58;61,67;60,90;61,17;;
2021-03-21;61,59;61,59;61,57;61,58;;
2021-03-20;61,59;61,62;61,59;61,59;;
2021-03-19;61,26;61,78;61,20;61,59;;
2021-03-18;60,89;61,85;60,66;61,28;;
2021-03-17;61,23;61,39;60,26;60,87;;
2021-03-16;60,85;61,73;60,27;61,25;;
2021-03-15;61,01;61,23;60,33;60,86;;
2021-03-14;61,06;61,06;61,04;61,05;;
2021-03-13;61,06;61,06;61,06;61,06;;
2021-03-12;60,90;61,30;60,44;61,06;;
2021-03-11;60,55;61,41;60,05;60,90;;
2021-03-10;59,20;61,04;59,20;60,54;;
2021-03-09;58,84;59,77;58,29;59,23;;
2021-03-08;57,78;59,22;57,72;58,83;;
2021-03-07;57,79;57,82;57,79;57,80;;
2021-03-06;57,79;57,79;57,79;57,79;;
2021-03-05;57,24;57,92;56,85;57,79;;
2021-03-04;57,87;58,16;57,13;57,24;;
2021-03-03;58,33;59,17;57,43;57,87;;
2021-03-02;58,43;58,84;58,02;58,29;;
2021-03-01;57,44;58,71;57,40;58,50;;
2021-02-28;57,35;57,36;57,33;57,33;;
2021-02-27;57,30;57,35;57,30;57,35;;
2021-02-26;57,51;57,68;56,91;57,31;;
2021-02-25;58,10;58,31;57,21;57,54;;
2021-02-24;57,90;58,70;57,12;58,10;;
2021-02-23;58,57;59,26;57,26;57,98;;
2021-02-22;59,27;59,39;58,04;58,50;;
2021-02-21;59,26;59,28;59,26;59,28;;
2021-02-20;59,26;59,26;59,26;59,26;;
2021-02-19;59,91;60,48;59,07;59,26;;
2021-02-18;61,57;61,60;59,52;59,90;;
2021-02-17;61,58;61,93;60,53;61,60;;
2021-02-16;61,16;62,49;61,16;61,59;;
2021-02-15;61,20;62,03;60,96;61,16;;
2021-02-14;61,05;61,11;61,05;61,10;;
2021-02-13;61,06;61,07;61,05;61,05;;
2021-02-12;60,12;61,38;59,06;61,06;;
2021-02-11;58,26;60,27;58,24;60,15;;
2021-02-10;56,67;58,29;56,57;58,26;;
2021-02-09;56,68;56,83;55,83;56,61;;
2021-02-08;56,97;57,78;56,51;56,72;;
2021-02-07;56,79;56,80;56,77;56,80;;
2021-02-06;56,79;56,79;56,79;56,79;;
2021-02-05;56,97;57,47;56,49;56,80;;
2021-02-04;57,62;57,69;55,96;56,94;;
2021-02-03;58,67;59,80;56,75;57,73;;
2021-02-02;64,00;64,00;55,21;58,58;;
2021-02-01;66,73;67,12;63,92;64,00;;
2021-01-31;66,37;66,43;66,37;66,41;;
2021-01-30;66,37;66,37;66,37;66,37;;
2021-01-29;68,25;68,56;65,92;66,37;;
2021-01-28;68,73;69,16;67,33;68,83;;
2021-01-27;69,46;70,06;68,46;68,75;;
2021-01-26;68,65;69,81;68,45;69,56;;
2021-01-25;69,43;69,72;68,06;68,90;;
2021-01-24;69,29;69,30;69,22;69,24;;
2021-01-23;69,29;69,29;69,29;69,29;;
2021-01-22;68,57;69,50;68,34;69,29;;
2021-01-21;68,87;69,04;68,19;68,79;;
2021-01-20;68,35;68,98;68,03;68,79;;
2021-01-19;68,30;68,70;67,96;68,60;;
2021-01-18;68,52;68,90;67,41;68,14;;
2021-01-17;68,54;68,58;68,34;68,44;;
2021-01-16;68,48;68,54;68,48;68,54;;
2021-01-15;68,39;68,88;68,12;68,48;;
2021-01-14;69,33;69,37;67,88;68,70;;
2021-01-13;68,97;69,40;68,45;69,11;;
2021-01-12;69,16;69,68;68,81;68,93;;
2021-01-11;70,01;70,08;68,50;69,08;;
2021-01-10;70,68;70,76;70,66;70,68;;
2021-01-09;70,68;70,68;70,68;70,68;;
2021-01-08;70,05;70,72;69,50;70,68;;
2021-01-07;70,27;70,58;69,27;69,52;;
2021-01-06;70,00;70,41;69,12;69,84;;
2021-01-05;69,56;70,53;68,96;70,12;;
2021-01-04;68,56;70,07;68,22;69,46;;
2020-12-30;68,44;68,87;68,23;68,42;;
2020-12-29;68,73;68,97;68,16;68,33;;
2020-12-28;68,31;69,02;68,14;68,28;;
2020-12-23;67,74;68,38;67,74;68,04;;
2020-12-22;67,32;68,04;67,28;67,84;;
2020-12-21;69,03;69,47;66,96;67,81;;
2020-12-20;69,58;69,58;69,34;69,40;;
2020-12-19;69,58;69,58;69,58;69,58;;
2020-12-18;68,97;69,95;68,91;69,58;;
2020-12-17;69,14;69,92;69,08;69,12;;
2020-12-16;67,68;69,13;67,55;69,06;;
2020-12-15;67,59;68,11;67,48;67,74;;
2020-12-14;67,58;68,93;67,36;67,53;;
2020-12-13;67,54;67,54;67,02;67,23;;
2020-12-12;67,49;67,49;67,49;67,49;;
2020-12-11;68,20;68,30;67,33;67,46;;
2020-12-10;68,50;68,88;67,88;68,20;;
2020-12-09;68,66;69,38;68,25;68,52;;
2020-12-08;68,44;68,70;67,83;68,60;;
2020-12-07;68,47;68,87;68,12;68,37;;
2020-12-06;68,52;68,54;68,52;68,54;;
2020-12-05;68,52;68,52;68,52;68,52;;
2020-12-04;68,61;68,93;68,07;68,56;;
